sweep  col               off         on     on-off   ratio
R1     wall             55.8       55.2       -0.6   0.989
R1     witness          11.3       11.2       -0.1   0.991
R1     fetch            26.0       25.5       -0.5   0.981
R1     encode           17.3       17.3        0.0   1.000
R1     loads          2702.0     2702.0        0.0   1.000
R1     load_GB         914.6      914.6        0.0   1.000
R1     weight_s         23.5       22.5       -1.0   0.957
R1     weight_n        362.0      362.0        0.0   1.000
R1     shard_s           2.5        3.1        0.6   1.240
R1     shard_n        2340.0     2340.0        0.0   1.000

R2     wall             74.4       75.6        1.2   1.016
R2     witness          25.9       25.9        0.0   1.000
R2     fetch            33.4       34.7        1.3   1.039
R2     aux               1.8        1.8        0.0   1.000
R2     encode           12.4       12.4        0.0   1.000
R2     loads          9940.0     9940.0        0.0   1.000
R2     load_GB        3351.2     3351.2        0.0   1.000
R2     routed_rd        72.0       72.0        0.0   1.000
R2     proj             72.0       72.0        0.0   1.000
R2     weight_s         23.7       22.7       -1.0   0.958
R2     weight_n        724.0      724.0        0.0   1.000
R2     shard_s          30.0       32.4        2.4   1.080
R2     shard_n        9216.0     9216.0        0.0   1.000

R3     wall             31.9       30.3       -1.6   0.950
R3     witness           5.1        5.0       -0.1   0.980
R3     fetch            23.9       18.7       -5.2   0.782
R3     aux               1.9        1.9        0.0   1.000
R3     encode            0.6        0.6        0.0   1.000
R3     loads           724.0      724.0        0.0   1.000
R3     load_GB         258.8      258.8        0.0   1.000
R3     routed_rd        72.0       72.0        0.0   1.000
R3     weight_s         23.9       18.8       -5.1   0.787
R3     weight_n        724.0      724.0        0.0   1.000

fold   wall            879.4      152.4     -727.0   0.173
fold   witness           5.3        5.1       -0.2   0.962
fold   fetch            34.0       15.7      -18.3   0.462
fold   aux               1.9        1.8       -0.1   0.947
fold   encode          487.9       47.5     -440.4   0.097
fold   fold_qlin       271.9       17.4     -254.5   0.064
fold   loads         10302.0     1086.0    -9216.0   0.105
fold   load_GB        3480.6      388.3    -3092.4   0.112
fold   routed_rd        72.0       72.0        0.0   1.000
fold   weight_s         24.0       15.7       -8.3   0.654
fold   weight_n       1086.0     1086.0        0.0   1.000
fold   shard_s          10.1        0.0      -10.1   0.000
fold   shard_n        9216.0        0.0    -9216.0   0.000

open   wall            738.3       82.0     -656.3   0.111
open   witness           5.3        5.1       -0.2   0.962
open   fetch            32.6       14.8      -17.8   0.454
open   aux               1.9        1.8       -0.1   0.947
open   encode          675.6       57.9     -617.7   0.086
open   loads         10302.0     1086.0    -9216.0   0.105
open   load_GB        3480.6      388.3    -3092.4   0.112
open   routed_rd        72.0       72.0        0.0   1.000
open   weight_s         22.1       14.8       -7.3   0.670
open   weight_n       1086.0     1086.0        0.0   1.000
open   shard_s          10.6        0.0      -10.6   0.000
open   shard_n        9216.0        0.0    -9216.0   0.000

ALL    wall           1779.8      395.5    -1384.3   0.222
ALL    witness          52.9       52.3       -0.6   0.989
ALL    fetch           149.8      109.4      -40.4   0.730
ALL    aux               7.5        7.3       -0.2   0.973
ALL    encode         1193.9      135.6    -1058.3   0.114
ALL    fold_qlin       271.9       17.4     -254.5   0.064
ALL    loads         33970.0    15538.0   -18432.0   0.457
ALL    load_GB       11485.9     5301.2    -6184.8   0.462
ALL    routed_rd       288.0      288.0        0.0   1.000
ALL    proj             72.0       72.0        0.0   1.000
ALL    weight_s        117.3       94.4      -22.9   0.805
ALL    weight_n       3982.0     3982.0        0.0   1.000
ALL    shard_s          53.2       35.5      -17.7   0.667
ALL    shard_n       29988.0    11556.0   -18432.0   0.385

fixed: {'build_s': (18.6, 19.1), 'enroll_s': (842.3, 48.0), 'reveal_s': (37.2, 37.3), 'prove_s': (1890.8, 988.0), 'peak_GiB': (48.43, 48.11), 'leaf_check': ('True', 'True')}
weight cache (on arm): {'wc_weights': None, 'wc_packed_GB': None, 'wc_pinned_GB': None, 'wc_reserved_GB': None, 'wc_hits': None, 'wc_refused': None}
prove: off 1890.8s, on 988.0s, saving 902.8s = 47.7%
dense loader seconds per proof: off 117.3 (3982 calls), on 94.4 (3982 calls + 0 hits)
