layer,submodule,rel_in,rel_out,err_in_per_resid,err_out_per_resid,abs_err_in,abs_err_out
0,input_layernorm,0.000000e+00,3.784432e-03,0.000000e+00,2.019522e-02,0.000000e+00,6.669696e-02
0,self_attn.q_proj,3.784432e-03,1.221725e-03,2.019522e-02,7.699689e-02,6.669696e-02,2.534364e-01
0,self_attn.k_proj,3.784432e-03,1.463373e-03,2.019522e-02,7.362312e-02,6.669696e-02,2.425530e-01
0,self_attn.v_proj,3.784432e-03,9.907295e-03,2.019522e-02,2.621541e-02,6.669696e-02,8.692938e-02
0,self_attn.o_proj,1.253960e-02,1.215956e-02,2.582368e-02,1.817458e-02,8.558586e-02,6.024880e-02
0,post_attention_layernorm,1.013243e-02,1.036301e-02,1.817458e-02,4.606680e-02,6.024880e-02,1.531761e-01
0,mlp.gate_proj,1.036301e-02,1.381874e-02,4.606680e-02,1.632243e-01,1.531761e-01,5.428682e-01
0,mlp.up_proj,1.036301e-02,1.667837e-02,4.606680e-02,1.526001e-01,1.531761e-01,5.075896e-01
0,mlp.down_proj,1.049373e-02,8.649763e-03,1.370721e-02,1.791267e-02,4.565721e-02,5.968242e-02
0,mlp,1.036301e-02,8.649763e-03,4.606680e-02,1.791267e-02,1.531761e-01,5.968242e-02
1,input_layernorm,7.597547e-03,5.662920e-03,7.597547e-03,2.021981e-02,7.912642e-02,2.105429e-01
1,self_attn.q_proj,5.662920e-03,3.601352e-03,2.021981e-02,6.338868e-02,2.105429e-01,6.595839e-01
1,self_attn.k_proj,5.662920e-03,3.279330e-03,2.021981e-02,6.687053e-02,2.105429e-01,6.956605e-01
1,self_attn.v_proj,5.662920e-03,1.553859e-02,2.021981e-02,1.921571e-02,2.105429e-01,2.000712e-01
1,self_attn.o_proj,2.408947e-02,1.406355e-02,1.507895e-02,8.873173e-03,1.568253e-01,9.231790e-02
1,post_attention_layernorm,1.188838e-02,1.646865e-02,1.117461e-02,3.168810e-02,1.163474e-01,3.295280e-01
1,mlp.gate_proj,1.646865e-02,1.077818e-02,3.168810e-02,8.388755e-02,3.295280e-01,8.726808e-01
1,mlp.up_proj,1.646865e-02,1.256376e-02,3.168810e-02,6.737970e-02,3.295280e-01,7.008336e-01
1,mlp.down_proj,2.751732e-01,2.564774e-01,3.664480e+01,6.675128e+01,3.936134e+02,7.169830e+02
1,mlp,1.646865e-02,2.564774e-01,3.168810e-02,6.675128e+01,3.295280e-01,7.169830e+02
2,input_layernorm,2.564112e-01,1.007821e-02,2.564112e-01,3.573672e-04,7.169827e+02,5.364647e-01
2,self_attn.q_proj,1.007821e-02,4.704413e-03,3.573672e-04,8.833833e-04,5.364647e-01,1.381081e+00
2,self_attn.k_proj,1.007821e-02,3.842502e-03,3.573672e-04,8.609598e-04,5.364647e-01,1.324489e+00
2,self_attn.v_proj,1.007821e-02,1.222288e-02,3.573672e-04,3.730248e-04,5.364647e-01,5.560865e-01
2,self_attn.o_proj,3.604237e-02,3.874317e-02,1.059724e-04,1.205038e-04,1.856330e-01,2.169715e-01
2,post_attention_layernorm,2.564114e-01,1.843924e-02,2.564100e-01,3.272661e-04,7.169798e+02,4.980402e-01
2,mlp.gate_proj,1.843924e-02,1.857523e-02,3.272661e-04,8.312545e-04,4.980402e-01,1.266704e+00
2,mlp.up_proj,1.843924e-02,1.771828e-02,3.272661e-04,6.509778e-04,4.980402e-01,9.870706e-01
2,mlp.down_proj,2.292148e-02,2.217685e-02,1.021121e-04,1.282966e-04,1.753773e-01,2.242486e-01
2,mlp,1.843924e-02,2.217685e-02,3.272661e-04,1.282966e-04,4.980402e-01,2.242486e-01
3,input_layernorm,2.558374e-01,1.501459e-02,2.558374e-01,7.297328e-04,7.170462e+02,1.119797e+00
3,self_attn.q_proj,1.501459e-02,8.779582e-03,7.297328e-04,1.706224e-03,1.119797e+00,2.651242e+00
3,self_attn.k_proj,1.501459e-02,6.924754e-03,7.297328e-04,1.599222e-03,1.119797e+00,2.465343e+00
3,self_attn.v_proj,1.501459e-02,1.656073e-02,7.297328e-04,6.998145e-04,1.119797e+00,1.070647e+00
3,self_attn.o_proj,4.543360e-02,4.200797e-02,1.658209e-04,1.799730e-04,2.604693e-01,2.781191e-01
3,post_attention_layernorm,2.558320e-01,2.358693e-02,2.558373e-01,5.079397e-04,7.170473e+02,7.734080e-01
3,mlp.gate_proj,2.358693e-02,2.523479e-02,5.079397e-04,1.420685e-03,7.734080e-01,2.130686e+00
3,mlp.up_proj,2.358693e-02,2.361863e-02,5.079397e-04,1.052561e-03,7.734080e-01,1.589322e+00
3,mlp.down_proj,3.085674e-02,3.429466e-02,1.706807e-04,2.314144e-04,2.522094e-01,3.450099e-01
3,mlp,2.358693e-02,3.429466e-02,5.079397e-04,2.314144e-04,7.734080e-01,3.450099e-01
4,input_layernorm,2.558136e-01,1.854275e-02,2.558136e-01,8.707326e-04,7.170452e+02,1.317970e+00
4,self_attn.q_proj,1.854275e-02,1.000765e-02,8.707326e-04,1.994934e-03,1.317970e+00,3.018565e+00
4,self_attn.k_proj,1.854275e-02,8.624051e-03,8.707326e-04,2.054934e-03,1.317970e+00,3.089172e+00
4,self_attn.v_proj,1.854275e-02,2.172893e-02,8.707326e-04,9.177084e-04,1.317970e+00,1.386723e+00
4,self_attn.o_proj,3.257046e-02,3.089874e-02,1.922480e-04,1.957208e-04,3.020168e-01,3.042745e-01
4,post_attention_layernorm,2.558179e-01,2.241233e-02,2.558138e-01,5.843097e-04,7.170478e+02,8.972171e-01
4,mlp.gate_proj,2.241233e-02,1.920336e-02,5.843097e-04,1.423539e-03,8.972171e-01,2.199815e+00
4,mlp.up_proj,2.241233e-02,2.141646e-02,5.843097e-04,1.147314e-03,8.972171e-01,1.761879e+00
4,mlp.down_proj,2.129501e-02,1.973000e-02,2.579641e-04,3.375417e-04,3.946868e-01,5.185277e-01
4,mlp,2.241233e-02,1.973000e-02,5.843097e-04,3.375417e-04,8.972171e-01,5.185277e-01
5,input_layernorm,2.547039e-01,1.897165e-02,2.547039e-01,8.792676e-04,7.171216e+02,1.373746e+00
5,self_attn.q_proj,1.897165e-02,1.013423e-02,8.792676e-04,1.930781e-03,1.373746e+00,3.044818e+00
5,self_attn.k_proj,1.897165e-02,8.412903e-03,8.792676e-04,1.956580e-03,1.373746e+00,3.072026e+00
5,self_attn.v_proj,1.897165e-02,2.018188e-02,8.792676e-04,8.948263e-04,1.373746e+00,1.390983e+00
5,self_attn.o_proj,3.676771e-02,4.079699e-02,2.667376e-04,2.668411e-04,4.309787e-01,4.333009e-01
5,post_attention_layernorm,2.546943e-01,2.348015e-02,2.546997e-01,6.495113e-04,7.171164e+02,1.018035e+00
5,mlp.gate_proj,2.348015e-02,2.197352e-02,6.495113e-04,1.778211e-03,1.018035e+00,2.794080e+00
5,mlp.up_proj,2.348015e-02,2.234075e-02,6.495113e-04,1.296894e-03,1.018035e+00,2.037967e+00
5,mlp.down_proj,2.971432e-02,3.309828e-02,2.654574e-04,3.504416e-04,4.144621e-01,5.453164e-01
5,mlp,2.348015e-02,3.309828e-02,6.495113e-04,3.504416e-04,1.018035e+00,5.453164e-01
6,input_layernorm,2.546838e-01,1.952149e-02,2.546838e-01,1.093822e-03,7.171165e+02,1.740986e+00
6,self_attn.q_proj,1.952149e-02,1.177294e-02,1.093822e-03,2.372568e-03,1.740986e+00,3.814052e+00
6,self_attn.k_proj,1.952149e-02,1.007530e-02,1.093822e-03,2.239170e-03,1.740986e+00,3.641459e+00
6,self_attn.v_proj,1.952149e-02,2.035250e-02,1.093822e-03,1.051869e-03,1.740986e+00,1.671801e+00
6,self_attn.o_proj,4.906774e-02,5.229230e-02,3.939889e-04,3.961046e-04,6.390411e-01,6.317182e-01
6,post_attention_layernorm,2.546831e-01,2.549445e-02,2.546821e-01,7.609694e-04,7.171174e+02,1.211301e+00
6,mlp.gate_proj,2.549445e-02,2.277690e-02,7.609694e-04,2.050135e-03,1.211301e+00,3.292466e+00
6,mlp.up_proj,2.549445e-02,2.472712e-02,7.609694e-04,1.522136e-03,1.211301e+00,2.426583e+00
6,mlp.down_proj,3.371796e-02,3.896942e-02,3.331796e-04,4.517214e-04,5.324274e-01,7.150286e-01
6,mlp,2.549445e-02,3.896942e-02,7.609694e-04,4.517214e-04,1.211301e+00,7.150286e-01
7,input_layernorm,2.546720e-01,2.127667e-02,2.546720e-01,1.233755e-03,7.171169e+02,1.975335e+00
7,self_attn.q_proj,2.127667e-02,1.212144e-02,1.233755e-03,2.456113e-03,1.975335e+00,3.910607e+00
7,self_attn.k_proj,2.127667e-02,1.065915e-02,1.233755e-03,2.396837e-03,1.975335e+00,3.834269e+00
7,self_attn.v_proj,2.127667e-02,2.266573e-02,1.233755e-03,1.202351e-03,1.975335e+00,1.927038e+00
7,self_attn.o_proj,3.688775e-02,3.602677e-02,2.941132e-04,2.636254e-04,4.848452e-01,4.315960e-01
7,post_attention_layernorm,2.546687e-01,2.486495e-02,2.546722e-01,7.895617e-04,7.171190e+02,1.262470e+00
7,mlp.gate_proj,2.486495e-02,1.988837e-02,7.895617e-04,1.900198e-03,1.262470e+00,3.052409e+00
7,mlp.up_proj,2.486495e-02,2.336254e-02,7.895617e-04,1.528545e-03,1.262470e+00,2.439973e+00
7,mlp.down_proj,3.195297e-02,3.357961e-02,3.578845e-04,4.391813e-04,5.674054e-01,6.950056e-01
7,mlp,2.486495e-02,3.357961e-02,7.895617e-04,4.391813e-04,1.262470e+00,6.950056e-01
8,input_layernorm,2.546563e-01,2.089165e-02,2.546563e-01,1.230120e-03,7.171184e+02,1.967933e+00
8,self_attn.q_proj,2.089165e-02,1.185044e-02,1.230120e-03,2.362428e-03,1.967933e+00,3.783468e+00
8,self_attn.k_proj,2.089165e-02,1.039975e-02,1.230120e-03,2.420533e-03,1.967933e+00,3.847179e+00
8,self_attn.v_proj,2.089165e-02,2.273875e-02,1.230120e-03,1.243843e-03,1.967933e+00,1.986171e+00
8,self_attn.o_proj,3.649710e-02,3.879521e-02,3.366955e-04,3.314324e-04,5.548217e-01,5.449485e-01
8,post_attention_layernorm,2.546423e-01,2.473628e-02,2.546541e-01,8.048889e-04,7.171177e+02,1.299083e+00
8,mlp.gate_proj,2.473628e-02,1.983668e-02,8.048889e-04,1.909501e-03,1.299083e+00,3.086126e+00
8,mlp.up_proj,2.473628e-02,2.333693e-02,8.048889e-04,1.613336e-03,1.299083e+00,2.613769e+00
8,mlp.down_proj,2.939578e-02,3.240485e-02,3.899467e-04,4.841346e-04,6.241389e-01,7.805009e-01
8,mlp,2.473628e-02,3.240485e-02,8.048889e-04,4.841346e-04,1.299083e+00,7.805009e-01
9,input_layernorm,2.546231e-01,1.999402e-02,2.546231e-01,1.163650e-03,7.171170e+02,1.902720e+00
9,self_attn.q_proj,1.999402e-02,1.146492e-02,1.163650e-03,2.191067e-03,1.902720e+00,3.610414e+00
9,self_attn.k_proj,1.999402e-02,9.714960e-03,1.163650e-03,2.220381e-03,1.902720e+00,3.691471e+00
9,self_attn.v_proj,1.999402e-02,2.109029e-02,1.163650e-03,1.194223e-03,1.902720e+00,1.959554e+00
