layer,submodule,rel_in,rel_out,err_in_per_resid,err_out_per_resid,abs_err_in,abs_err_out
0,input_layernorm,0.000000e+00,3.147483e-04,0.000000e+00,1.674761e-03,0.000000e+00,5.538742e-03
0,self_attn.q_proj,3.147483e-04,2.886500e-04,1.674761e-03,1.801367e-02,5.538742e-03,6.109711e-02
0,self_attn.k_proj,3.147483e-04,2.975293e-04,1.674761e-03,1.480852e-02,5.538742e-03,5.009740e-02
0,self_attn.v_proj,3.147483e-04,3.252801e-04,1.674761e-03,8.527106e-04,5.538742e-03,2.891016e-03
0,self_attn.o_proj,5.960866e-04,7.858628e-04,1.225578e-03,1.164502e-03,4.068800e-03,3.908462e-03
0,post_attention_layernorm,6.868511e-04,8.062290e-04,1.226008e-03,3.577401e-03,4.110973e-03,1.199061e-02
0,mlp.gate_proj,8.062290e-04,9.236514e-04,3.577401e-03,1.087158e-02,1.199061e-02,3.649808e-02
0,mlp.up_proj,8.062290e-04,1.048005e-03,3.577401e-03,9.544008e-03,1.199061e-02,3.208129e-02
0,mlp.down_proj,1.020757e-03,7.563571e-04,1.336385e-03,1.568671e-03,4.427671e-03,5.201362e-03
0,mlp,8.062290e-04,7.563571e-04,3.577401e-03,1.568671e-03,1.199061e-02,5.201362e-03
1,input_layernorm,6.190793e-04,6.913542e-04,6.190793e-04,2.473393e-03,6.452004e-03,2.580086e-02
1,self_attn.q_proj,6.913542e-04,7.625694e-04,2.473393e-03,1.346047e-02,2.580086e-02,1.405756e-01
1,self_attn.k_proj,6.913542e-04,6.854766e-04,2.473393e-03,1.405180e-02,2.580086e-02,1.469509e-01
1,self_attn.v_proj,6.913542e-04,7.528441e-04,2.473393e-03,9.360025e-04,2.580086e-02,9.795485e-03
1,self_attn.o_proj,1.107257e-03,8.856296e-04,6.937873e-04,5.588403e-04,7.236104e-03,5.836093e-03
1,post_attention_layernorm,8.620916e-04,1.020397e-03,8.100778e-04,1.969396e-03,8.453495e-03,2.053696e-02
1,mlp.gate_proj,1.020397e-03,8.452449e-04,1.969396e-03,6.589918e-03,2.053696e-02,6.882917e-02
1,mlp.up_proj,1.020397e-03,8.660730e-04,1.969396e-03,4.659072e-03,2.053696e-02,4.864580e-02
1,mlp.down_proj,5.024076e-04,5.470742e-04,5.384866e-02,1.199318e-01,5.753544e-01,1.277578e+00
1,mlp,1.020397e-03,5.470742e-04,1.969396e-03,1.199318e-01,2.053696e-02,1.277578e+00
2,input_layernorm,5.484091e-04,8.582501e-04,5.484091e-04,3.104243e-05,1.287111e+00,4.599506e-02
2,self_attn.q_proj,8.582501e-04,5.441387e-04,3.104243e-05,1.071768e-04,4.599506e-02,1.621112e-01
2,self_attn.k_proj,8.582501e-04,5.001194e-04,3.104243e-05,1.161280e-04,4.599506e-02,1.748308e-01
2,self_attn.v_proj,8.582501e-04,9.220100e-04,3.104243e-05,2.839419e-05,4.599506e-02,4.224920e-02
2,self_attn.o_proj,1.646054e-03,1.619820e-03,5.358979e-06,5.741361e-06,8.273220e-03,8.883811e-03
2,post_attention_layernorm,5.453289e-04,1.151692e-03,5.453260e-04,2.115043e-05,1.277113e+00,3.143063e-02
2,mlp.gate_proj,1.151692e-03,1.101385e-03,2.115043e-05,5.169916e-05,3.143063e-02,7.630675e-02
2,mlp.up_proj,1.151692e-03,1.122247e-03,2.115043e-05,4.286567e-05,3.143063e-02,6.344681e-02
2,mlp.down_proj,1.206567e-03,1.132980e-03,6.149569e-06,7.552923e-06,9.243374e-03,1.141056e-02
2,mlp,1.151692e-03,1.132980e-03,2.115043e-05,7.552923e-06,3.143063e-02,1.141056e-02
3,input_layernorm,6.464303e-04,1.042215e-03,6.464303e-04,5.242355e-05,1.465901e+00,7.858112e-02
3,self_attn.q_proj,1.042215e-03,6.213254e-04,5.242355e-05,1.265712e-04,7.858112e-02,1.907367e-01
3,self_attn.k_proj,1.042215e-03,5.450976e-04,5.242355e-05,1.308365e-04,7.858112e-02,1.974568e-01
3,self_attn.v_proj,1.042215e-03,1.114278e-03,5.242355e-05,4.861013e-05,7.858112e-02,7.300161e-02
3,self_attn.o_proj,1.945960e-03,1.723507e-03,7.809625e-06,7.906352e-06,1.140850e-02,1.162302e-02
3,post_attention_layernorm,6.472242e-04,1.349338e-03,6.472418e-04,3.043542e-05,1.471654e+00,4.507208e-02
3,mlp.gate_proj,1.349338e-03,1.183482e-03,3.043542e-05,6.952390e-05,4.507208e-02,1.018254e-01
3,mlp.up_proj,1.349338e-03,1.274973e-03,3.043542e-05,5.934724e-05,4.507208e-02,8.749010e-02
3,mlp.down_proj,1.631209e-03,1.611879e-03,9.441096e-06,1.152047e-05,1.364460e-02,1.668058e-02
3,mlp,1.349338e-03,1.611879e-03,3.043542e-05,1.152047e-05,4.507208e-02,1.668058e-02
4,input_layernorm,6.267481e-04,1.106767e-03,6.267481e-04,5.362804e-05,1.445845e+00,7.969654e-02
4,self_attn.q_proj,1.106767e-03,6.399810e-04,5.362804e-05,1.321510e-04,7.969654e-02,1.960118e-01
4,self_attn.k_proj,1.106767e-03,5.608708e-04,5.362804e-05,1.372774e-04,7.969654e-02,2.041697e-01
4,self_attn.v_proj,1.106767e-03,1.209808e-03,5.362804e-05,5.280535e-05,7.969654e-02,7.821361e-02
